Date,0001.HK,0002.HK,0003.HK,0005.HK,0006.HK,0011.HK,0012.HK,0016.HK,0017.HK,0027.HK,0066.HK,0101.HK,0175.HK,0241.HK,0267.HK,0288.HK,0386.HK,0388.HK,0669.HK,0688.HK,0700.HK,0762.HK,0823.HK,0857.HK,0883.HK,0939.HK,0941.HK,0960.HK,1038.HK,1044.HK,1093.HK,1109.HK,1113.HK,1177.HK,1299.HK,1398.HK,1810.HK,1876.HK,1928.HK,1997.HK,2007.HK,2020.HK,2269.HK,2313.HK,2318.HK,2319.HK,2382.HK,2388.HK,2628.HK,3690.HK,3988.HK,6862.HK,9988.HK,2018.HK,3328.HK
2015-11-19,78.81656646728516,47.820011138916016,8.060279846191406,43.104530334472656,40.34841537475586,107.23692321777344,23.28785514831543,67.64838409423828,20.886329650878906,22.571935653686523,27.068387985229492,14.028697967529297,3.7629153728485107,6.139999866485596,9.700794219970703,3.099382162094116,2.8623368740081787,173.99911499023438,28.194124221801758,19.214279174804688,150.0091094970703,7.765087127685547,35.85112762451172,4.057000637054443,5.0710577964782715,3.6807456016540527,61.93878936767578,8.388222694396973,50.68250274658203,55.99336624145508,3.2760331630706787,16.4574031829834,41.74759292602539,2.754941463470459,42.46589660644531,3.1978752613067627,,,20.943544387817383,,2.032567024230957,21.846969604492188,,35.5738639831543,36.1021728515625,12.922383308410645,17.894887924194336,18.16768455505371,22.321849822998047,,2.2040278911590576,,,50.35405731201172,3.429445266723633
2015-11-20,79.34808349609375,48.036224365234375,8.153162956237793,43.729736328125,40.34841537475586,107.53522491455078,24.01789093017578,69.6051254272461,21.25506591796875,22.33971405029297,27.178571701049805,14.279472351074219,3.7899866104125977,6.199999809265137,9.770990371704102,3.0677554607391357,2.8679933547973633,176.34141540527344,28.552715301513672,19.508188247680664,151.96873474121094,7.874673366546631,36.33611297607422,4.145355701446533,5.204987049102783,3.71396541595459,62.483619689941406,8.553582191467285,50.90478515625,56.8194465637207,3.285393714904785,16.917747497558594,42.14107131958008,2.792004346847534,43.00457000732422,3.2176568508148193,,,21.020973205566406,,2.0393195152282715,21.529035568237305,,35.529510498046875,36.51011276245117,12.733458518981934,17.61054229736328,18.130680084228516,22.88290023803711,,2.2228124141693115,,,51.39555358886719,3.4601197242736816
2015-11-23,78.96842193603516,48.10829544067383,8.122200965881348,43.486595153808594,40.10002517700195,107.16236877441406,23.82321548461914,69.11593627929688,21.070701599121094,21.457275390625,27.252031326293945,14.161460876464844,3.8802247047424316,6.239999771118164,9.686758041381836,3.091475486755371,2.839709520339966,176.00680541992188,28.552715301513672,19.508188247680664,152.3606414794922,7.7807416915893555,36.22419357299805,4.1600823402404785,5.168461322784424,3.6807456016540527,62.27931213378906,8.44835376739502,51.16413879394531,57.070858001708984,3.3696343898773193,16.725936889648438,41.826290130615234,2.8373024463653564,43.049468994140625,3.2044692039489746,,,20.324146270751953,,2.0393195152282715,21.301937103271484,,36.01742935180664,36.387725830078125,12.657890319824219,17.970714569091797,18.24168586730957,22.72260093688965,,2.216550588607788,,,50.8068733215332,3.441715717315674
2015-11-24,78.96842193603516,47.85603713989258,8.049957275390625,43.34767150878906,40.10002517700195,106.41661071777344,23.6285343170166,68.69664764404297,20.675621032714844,21.782384872436523,26.994932174682617,14.028697967529297,3.7899866104125977,6.230000019073486,9.770990371704102,3.083569049835205,2.8114256858825684,176.34141540527344,28.238950729370117,19.32449722290039,152.94851684570312,7.7807416915893555,36.11914825439453,4.204259872436523,5.192811965942383,3.6408815383911133,62.347415924072266,8.433321952819824,51.16413879394531,56.56803894042969,3.411754846572876,16.53412437438965,41.19672775268555,2.9649603366851807,42.91478729248047,3.1583144664764404,,,20.440284729003906,,2.0460729598999023,21.25651741027832,,35.618228912353516,36.3469352722168,12.62010383605957,17.686368942260742,18.20468521118164,22.5222225189209,,2.1977663040161133,,,50.71630859375,3.398770332336426
2015-11-25,78.66470336914062,47.567745208740234,8.018997192382812,43.03506088256836,38.9409065246582,105.52173614501953,23.725873947143555,68.7315673828125,20.622949600219727,21.921714782714844,26.994932174682617,14.028697967529297,3.7899866104125977,6.21999979019165,9.785029411315918,3.091475486755371,2.7944552898406982,175.6721649169922,27.790712356567383,19.287755966186523,153.2424774169922,7.663325786590576,35.9669075012207,4.2189860343933105,5.3632683753967285,3.601018190383911,61.7685432434082,8.298025131225586,50.9788932800293,56.67578125,3.4164347648620605,16.687576293945312,40.72456359863281,3.080264091491699,42.780128479003906,3.1319401264190674,,,20.711273193359375,,1.9988033771514893,20.93857765197754,,36.32792663574219,36.142967224121094,12.336719512939453,18.027584075927734,18.20468521118164,22.64244842529297,,2.1852433681488037,,,49.8106689453125,3.411041259765625
2015-11-26,78.13318634033203,47.603790283203125,8.03963851928711,43.243465423583984,38.747718811035156,106.04374694824219,23.750207901000977,69.01111602783203,20.6492862701416,21.87527084350586,26.774574279785156,13.925435066223145,3.7629153728485107,6.099999904632568,9.742911338806152,3.107288122177124,2.8114256858825684,174.83563232421875,28.418245315551758,19.397972106933594,152.55657958984375,7.655498504638672,35.70048141479492,4.233711242675781,5.326741695404053,3.6143062114715576,61.35992431640625,8.252927780151367,51.05299377441406,56.891273498535156,3.397714614868164,16.76430320739746,40.803260803222656,3.0102577209472656,42.869903564453125,3.1517207622528076,,,20.51770782470703,,1.9717925786972046,20.620637893676758,,36.10614776611328,36.142967224121094,12.053335189819336,17.534717559814453,18.056676864624023,22.682525634765625,,2.191504955291748,,,50.12763977050781,3.4233107566833496
2015-11-27,76.84235382080078,47.135318756103516,7.977715015411377,43.06979751586914,38.3337516784668,104.99972534179688,23.36086082458496,67.29893493652344,20.280548095703125,21.317941665649414,26.444015502929688,13.512394905090332,3.645606279373169,5.909999847412109,9.602523803710938,3.1231014728546143,2.6926333904266357,170.4857177734375,28.149303436279297,18.699939727783203,150.10708618164062,7.569392204284668,35.89078903198242,4.07908821105957,5.180636882781982,3.561154365539551,60.474613189697266,8.102601051330566,50.534305572509766,55.99336624145508,3.374314785003662,15.99705696105957,39.976966857910156,2.890836477279663,41.747657775878906,3.0923783779144287,,,20.246719360351562,,1.9515345096588135,20.620637893676758,,36.150508880615234,35.32709503173828,11.845518112182617,16.643762588500977,17.871671676635742,21.88102149963379,,2.1601979732513428,,,49.765384674072266,3.3619608879089355
2015-11-30,77.22200775146484,46.70288848876953,7.853870868682861,42.930850982666016,38.22335433959961,104.7760238647461,23.239187240600586,66.60009002685547,20.333221435546875,21.17860984802246,26.444015502929688,13.394381523132324,3.672677993774414,5.929999828338623,9.546368598937988,3.1626343727111816,2.686976194381714,168.9799041748047,28.194124221801758,18.88363265991211,151.1848602294922,7.514598846435547,35.89078903198242,4.057000637054443,5.223249912261963,3.54122257232666,59.997901916503906,7.982341289520264,50.31201934814453,55.957454681396484,3.411754846572876,15.99705696105957,39.78022384643555,3.0102577209472656,41.568092346191406,3.0923783779144287,,,20.28543472290039,,1.965039610862732,21.301937103271484,,36.10614776611328,34.63361358642578,11.656593322753906,16.719589233398438,17.575660705566406,21.440196990966797,,2.1539366245269775,,,49.22199249267578,3.3128809928894043
2015-12-01,78.4369125366211,47.567745208740234,7.998355865478516,43.521331787109375,38.52693557739258,106.04374694824219,23.652870178222656,68.17251586914062,20.385902404785156,22.10749626159668,26.921483993530273,13.586150169372559,3.690725564956665,6.110000133514404,9.827144622802734,3.2179808616638184,2.760514497756958,170.6529541015625,27.790712356567383,20.096006393432617,151.1848602294922,7.577221393585205,36.08108901977539,4.1600823402404785,5.375443458557129,3.5744423866271973,61.564239501953125,8.162732124328613,50.756591796875,56.96310043334961,3.683197259902954,17.224647521972656,40.7639045715332,2.9896678924560547,42.869903564453125,3.1253466606140137,,,21.0596866607666,,2.0730834007263184,21.211095809936523,,36.46099090576172,35.32709503173828,11.656593322753906,16.89019775390625,17.945676803588867,21.5604190826416,,2.191504955291748,,,51.07857894897461,3.404905319213867
2015-12-02,78.66470336914062,47.386051177978516,8.018997192382812,43.6602668762207,38.66493225097656,106.71491241455078,23.847543716430664,68.4520492553711,20.438579559326172,22.29327392578125,26.921483993530273,13.630403518676758,3.7809629440307617,6.039999961853027,9.883299827575684,3.2179808616638184,2.7718281745910645,172.82797241210938,27.208005905151367,20.132741928100586,150.59698486328125,7.569392204284668,36.11914825439453,4.196896076202393,5.3876190185546875,3.587730646133423,61.700435638427734,8.313058853149414,50.719539642333984,56.06520080566406,3.7440383434295654,17.493181228637695,41.78694534301758,3.133798122406006,43.543251037597656,3.1319401264190674,,,21.21453857421875,,2.093341112136841,21.43819808959961,,35.3077392578125,36.1021728515625,11.656593322753906,16.58689308166504,17.834674835205078,21.720722198486328,,2.2040278911590576,,,50.58047103881836,3.441715717315674
